"Course","Term","FileName","Asset","Url","Bytes","Hash"
"EcoIV","20192","Lecture10.pdf","EcoIV_20192_Lecture10.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture10.pdf","557903","9E9976156F33707D08B56325F26D9664"
"EcoIV","20192","Lecture11.pdf","EcoIV_20192_Lecture11.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture11.pdf","807637","C020CA758533F1105BDEFF33D797B401"
"EcoIV","20192","Lecture12.pdf","EcoIV_20192_Lecture12.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture12.pdf","969158","129036ECFB0C5EDFEE4F8B8BC2C5423A"
"EcoIV","20192","Lecture13.pdf","EcoIV_20192_Lecture13.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture13.pdf","602732","7CB2F511934B53EE309078DDFD27905B"
"EcoIV","20192","Lecture14.pdf","EcoIV_20192_Lecture14.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture14.pdf","576426","28579AF4CFC9322EE00CBF8379FE9E5F"
"EcoIV","20192","Lecture15.pdf","EcoIV_20192_Lecture15.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture15.pdf","758392","69E02695A8F7A8A939D1D4A83F079625"
"EcoIV","20192","Lecture16.pdf","EcoIV_20192_Lecture16.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture16.pdf","783365","D2B07781C76B2698E11832D1BDF8CC6B"
"EcoIV","20192","Lecture17.pdf","EcoIV_20192_Lecture17.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture17.pdf","541724","87EC6D975E05B0012C090F481C1175AB"
"EcoIV","20192","Lecture18.pdf","EcoIV_20192_Lecture18.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture18.pdf","1242748","BA4AC6E2752D15337A41E9FF7D1ECACC"
"EcoIV","20192","Lecture19.pdf","EcoIV_20191_Lecture19.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture19.pdf","907256","106FD96F7D88A2B4A1AE6B56DD094422"
