"Course","Term","Section","Label","Href","Status","Url","Asset","Local"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 19","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture19.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture19.pdf","","public_html\pdfs\EcoIV\20191\Lecture19.pdf"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 20","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture20.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture20.pdf","","public_html\pdfs\EcoIV\20191\Lecture20.pdf"
"EcoIV","2019-1","Notas de Clase","Notas de clase de Alvaro Riascos y Andres Carvajal (Equilibrio general)","https://mauricio-romero.com/pdfs/MicroIII201619/notas_micro.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/MicroIII201619_notas_micro.pdf","","public_html\pdfs\MicroIII201619\notas_micro.pdf"
"EcoIV","2019-1","Notas de Clase","Notas de clase de Marcela Eslava (Teoría de Juegos)","https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf","EXTERNAL","https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf","",""
"EcoIV","2019-1","Notas de Clase","Resumen del curso","https://mauricio-romero.com/pdfs/EcoIV/Resumen_ParcialFinal.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Resumen_ParcialFinal.pdf","","public_html\pdfs\EcoIV\Resumen_ParcialFinal.pdf"
"EcoIV","2019-1","Notas de Clase","Notas de clase de Teoría de Juegos","https://mauricio-romero.com/pdfs/EcoIV/Notas.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Notas.pdf","","public_html\pdfs\EcoIV\Notas.pdf"
"EcoIV","2019-1","Notas de Clase","Taller de equilibrio general","https://mauricio-romero.com/pdfs/EcoIV/Taller_EqGeneral.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Taller_EqGeneral.pdf","","public_html\pdfs\EcoIV\Taller_EqGeneral.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2016-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/1oct2016A.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_1oct2016A.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\1oct2016A.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2017-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_30sept2017.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\30sept2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2017-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_30sept2017.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\30sept2017.pdf"
