course	term	section	label	href
EcoIV	2019-1	Exámenes viejos de Eco-IV	Final 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/10dic2018.pdf
EcoIV	2019-1	Exámenes viejos de Eco-IV	Final 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/27mayo2019.pdf
EcoIV	2019-2	Syllabus	Syllabus	https://mauricio-romero.com/pdfs/EcoIV/20192/Temario.pdf
EcoIV	2019-2	Equilibrio General	Lecture 1	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture1.pdf
EcoIV	2019-2	Equilibrio General	Lecture 2	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture2.pdf
EcoIV	2019-2	Equilibrio General	Lecture 3	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture3.pdf
EcoIV	2019-2	Equilibrio General	Lecture 4	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture4.pdf
EcoIV	2019-2	Equilibrio General	Lecture 5	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture5.pdf
EcoIV	2019-2	Equilibrio General	Lecture 6	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture6.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 7	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture7.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 8	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture8.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 9	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture9.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 10	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture10.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 11	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture11.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 12	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture12.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 13	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture13.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 14	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture14.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 15	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture15.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 16	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture16.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 17	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture17.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 18	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture18.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 19	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture19.pdf
EcoIV	2019-2	Monopolio y discriminación de precios	Lecture 20	https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture20.pdf
EcoIV	2019-2	Notas de Clase	Notas de clase de Álvaro Riascos y Andrés Carvajal (Equilibrio general)	https://mauricio-romero.com/pdfs/MicroIII201619/notas_micro.pdf
EcoIV	2019-2	Notas de Clase	Notas de clase de Marcela Eslava (Teoría de Juegos)	https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf
EcoIV	2019-2	Notas de Clase	Resumen del curso	https://mauricio-romero.com/pdfs/EcoIV/Resumen_ParcialFinal.pdf
EcoIV	2019-2	Notas de Clase	Notas de clase de Teoría de Juegos	https://mauricio-romero.com/pdfs/EcoIV/Notas.pdf
EcoIV	2019-2	Notas de Clase	Taller de equilibrio general	https://mauricio-romero.com/pdfs/EcoIV/Taller_EqGeneral.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 1 - a	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Parcial1_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 1 - b	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Parcial1_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 1 - c	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Parcial1_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 1 - d	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Parcial1_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - a	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Parcial2_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - b	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Parcial2_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - c	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Parcial2_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - d	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Parcial2_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - e	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_3_Parcial2_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Parcial 2 - f	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_3_Parcial2_530pm.pdf
EcoIV	2019-2	Clases de repaso	Solución Parcial 2 - a	https://mauricio-romero.com/pdfs/EcoIV/20192/Solucion_Parcial2_4pm.pdf
EcoIV	2019-2	Clases de repaso	Solución Parcial 2 -b	https://mauricio-romero.com/pdfs/EcoIV/20192/Solucion_Parcial2_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - a	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Final_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - b	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Final_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - c	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Final_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - d	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_2_Final_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - e	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_3_Final_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - f	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_3_Final_530pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - g	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_4_Final_4pm.pdf
EcoIV	2019-2	Clases de repaso	Repaso Final - h	https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_4_Final_530pm.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/1oct2016A.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/4mar2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/3mar2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/29sep2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Primer Parcial 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/12nov2016A.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/22abr2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/11nov2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/21abr2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/10nov2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Segundo Parcial 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/27abr2019.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/5dic2016A.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/29mayo2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/18dic2017.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/21may2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/10dic2018.pdf
EcoIV	2019-2	Exámenes viejos de Eco-IV	Final 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/27mayo2019.pdf
EcoIV	2020-1	Syllabus	Syllabus	https://mauricio-romero.com/pdfs/EcoIV/20201/Temario.pdf
EcoIV	2020-1	Equilibrio General	Lecture 1	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture1.pdf
EcoIV	2020-1	Equilibrio General	Lecture 2	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture2.pdf
EcoIV	2020-1	Equilibrio General	Lecture 3	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture3.pdf
EcoIV	2020-1	Equilibrio General	Lecture 4	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture4.pdf
EcoIV	2020-1	Equilibrio General	Lecture 5	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture5.pdf
EcoIV	2020-1	Equilibrio General	Lecture 6	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture6.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 7	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture7.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 8	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture8.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 9	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture9.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 10	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture10.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 11	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture11.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture11_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 12	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture12.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture12_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 13	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture13.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture13_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas actualizadas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture13_Notas2.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 14	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture14.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture14_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 15	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture15.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture15_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 16	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture16.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture16_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 17	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture17.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture17_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 18	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture18.pdf
